customer_customerNumber,customer_customerName,customer_customerType,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_customerLocation,customer_status,customer_statusText
1,Njeri Kagame,Individual,Njeri,Kagame,0799604377,494 Moi Ave,Apt 93,47961,Mombasa,Jomvu,"Mombasa, Kenya",1,Active
2,Felicite Zuma,Individual,Felicite,Zuma,0715929390,606 Moi Ave,Apt 78,6127,Garissa,Subukia,"Garissa, Kenya",0,Dormant
3,[Business] Swahili Hotel,Business,Kiptoo,Mugabe,0730566187,540 Uhuru Hwy,Apt 40,32169,Baringo,Kisumu West,"Baringo, Kenya",1,Active
4,[Business] Sarova Lodge,Business,Pauline,Munyao,0772541740,408 Gigiri Rd,Apt 25,76409,Embu,Gilgil,"Embu, Kenya",0,Dormant
5,[Business] Swahili Manor,Business,Felix,Mugisha,0754680066,952 Runda Dr,Apt 66,21638,Isiolo,Likoni,"Isiolo, Kenya",1,Active
6,[Business] Leopard Beach Suites,Business,Wanjiku,Mutua,0798171425,316 Jogoo Rd,Apt 66,83953,Nyeri,Langata,"Nyeri, Kenya",1,Active
7,[Business] Safari Residences,Business,Claudine,Ali,0771648934,800 Mombasa Rd,Apt 75,11078,Laikipia,Kasarani,"Laikipia, Kenya",0,Dormant
8,[Business] Baobab Retreat,Business,Jacques,Munee,0742124008,210 Moi Ave,Apt 4,86708,Mandera,Langata,"Mandera, Kenya",0,Dormant
9,[Business] Swahili Haven,Business,Patricia,Mbeki,0735792237,419 Moi Ave,Apt 21,4097,Laikipia,Nyando,"Laikipia, Kenya",1,Active
10,[Business] Ole Sereni Haven,Business,Jacqueline,Mandela,0702795659,970 Kisumu Ave,Apt 64,40940,Kitui,Subukia,"Kitui, Kenya",1,Active
11,[Business] PrideInn Suites,Business,Mwangi,Osman,0767998285,79 Donholm Rd,Apt 3,70846,Isiolo,Embakasi,"Isiolo, Kenya",0,Dormant
12,Paul Munee,Individual,Paul,Munee,0792106904,829 Mama Ngina St,Apt 34,30220,Marsabit,Kisauni,"Marsabit, Kenya",0,Dormant
13,Mutiso Munyuli,Individual,Mutiso,Munyuli,0722541458,659 Mama Ngina St,Apt 54,61338,Embu,Muhoroni,"Embu, Kenya",0,Dormant
14,[Business] Tamarind Palace,Business,Otieno,Mugabe,0768508958,50 Westlands Rd,Apt 49,59576,Mombasa,Moiben,"Mombasa, Kenya",1,Active
15,[Business] Sarova Lodge,Business,Pauline,Mbeki,0741268026,633 Mama Ngina St,Apt 32,59733,Nyeri,Kisauni,"Nyeri, Kenya",1,Active
16,Wambui Ali,Individual,Wambui,Ali,0708551529,966 Jogoo Rd,Apt 81,47037,Wajir,Nakuru Town,"Wajir, Kenya",1,Active
17,Wambui Munzala,Individual,Wambui,Munzala,0725834471,521 Riverside Dr,Apt 15,2212,Kitui,Nyando,"Kitui, Kenya",1,Active
18,Felicite Mukasa,Individual,Felicite,Mukasa,0759341712,709 Limuru Rd,Apt 12,65902,Garissa,Nakuru Town,"Garissa, Kenya",1,Active
19,Joseph Mandela,Individual,Joseph,Mandela,0764011773,110 Eastleigh Rd,Apt 61,51347,Mombasa,Gilgil,"Mombasa, Kenya",0,Dormant
20,[Business] Boma Retreat,Business,Wambui,Kabongo,0796642953,879 Kenyatta Ave,Apt 69,49427,Kitui,Kisumu East,"Kitui, Kenya",1,Active
21,[Business] Leopard Beach Haven,Business,Mwangi,Mandela,0723176266,381 Thika Rd,Apt 61,26044,Garissa,Moiben,"Garissa, Kenya",0,Dormant
22,Mutiso Munee,Individual,Mutiso,Munee,0759415174,860 Eastleigh Rd,Apt 100,15074,Embu,Eldoret East,"Embu, Kenya",0,Dormant
23,Joseph Yusuf,Individual,Joseph,Yusuf,0751018687,945 Kilimani Rd,Apt 12,43632,Wajir,Jomvu,"Wajir, Kenya",1,Active
24,[Business] PrideInn Suites,Business,Claude,Mbeki,0768295448,522 Kimathi St,Apt 78,32694,Baringo,Kisumu East,"Baringo, Kenya",0,Dormant
